"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 06 21:23:10 GMT 2022","Thu Jan 06 21:23:10 GMT 2022","0","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","afterMethod","afterMethod",""
"skipped","Thu Jan 06 21:24:14 GMT 2022","Thu Jan 06 21:24:19 GMT 2022","4804","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
"broken","Thu Jan 06 21:23:08 GMT 2022","Thu Jan 06 21:23:08 GMT 2022","0","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","beforeMethod","beforeMethod",""
"skipped","Thu Jan 06 21:23:08 GMT 2022","Thu Jan 06 21:23:08 GMT 2022","4","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
