"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 07 18:26:17 GMT 2022","Fri Jan 07 18:26:17 GMT 2022","5","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","beforeMethod","beforeMethod",""
"broken","Fri Jan 07 18:26:19 GMT 2022","Fri Jan 07 18:26:19 GMT 2022","0","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","afterMethod","afterMethod",""
"skipped","Fri Jan 07 18:26:17 GMT 2022","Fri Jan 07 18:26:17 GMT 2022","41","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
"broken","Fri Jan 07 18:27:43 GMT 2022","Fri Jan 07 18:27:48 GMT 2022","5512","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
