"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 06 21:43:02 GMT 2022","Thu Jan 06 21:43:02 GMT 2022","1","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","afterMethod","afterMethod",""
"broken","Thu Jan 06 21:44:10 GMT 2022","Thu Jan 06 21:44:16 GMT 2022","6732","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
"broken","Thu Jan 06 21:43:00 GMT 2022","Thu Jan 06 21:43:00 GMT 2022","3","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","beforeMethod","beforeMethod",""
"skipped","Thu Jan 06 21:43:00 GMT 2022","Thu Jan 06 21:43:00 GMT 2022","16","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
