"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 07 04:38:41 GMT 2022","Fri Jan 07 04:38:48 GMT 2022","7244","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
"broken","Fri Jan 07 04:37:26 GMT 2022","Fri Jan 07 04:37:26 GMT 2022","8","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","afterMethod","afterMethod",""
"broken","Fri Jan 07 04:37:24 GMT 2022","Fri Jan 07 04:37:24 GMT 2022","3","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","beforeMethod","beforeMethod",""
"skipped","Fri Jan 07 04:37:24 GMT 2022","Fri Jan 07 04:37:24 GMT 2022","11","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
