"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 07 17:26:54 GMT 2022","Fri Jan 07 17:26:54 GMT 2022","5","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","beforeMethod","beforeMethod",""
"skipped","Fri Jan 07 17:26:54 GMT 2022","Fri Jan 07 17:26:54 GMT 2022","42","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
"broken","Fri Jan 07 17:26:56 GMT 2022","Fri Jan 07 17:26:56 GMT 2022","0","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","afterMethod","afterMethod",""
"broken","Fri Jan 07 17:28:14 GMT 2022","Fri Jan 07 17:28:19 GMT 2022","5230","ToolsQA","TextBox","tests.toolsqa.elements.TextBoxTest","tests.toolsqa.elements.TextBoxTest","testToolsQAElementsTextBox","Validate the behaviour of different combinations of text box details","Test Description: Login test with different combinations of username and password"
